Type,Item,Unit,saleprice,sale_account,sale_description,purchase_price,purchase_account,purchase_description,,Manufacture_date,Expire_date,Quantity,Bill_Date,Bill_Number,Purchase_Order_Number,Purchase_Order_Date,Terms
PRODUCT,(18X12) WALL SPICE 211 (L)-,BOX,270,,(18X12) WALL SPICE 211 (L)-,220,,,,,,186,,,,,
PRODUCT,(D)- ,BOX,270,,(D)- ,220,,,,,,109,,,,,
PRODUCT,(-1)-,BOX,270,,(-1)-,220,,,,,,86,,,,,
PRODUCT,(F)- ,BOX,270,,(F)- ,220,,,,,,118,,,,,
PRODUCT,232 (L)- ,BOX,270,,232 (L)- ,220,,,,,,135,,,,,
PRODUCT,(D)- ,BOX,270,,(D)- ,220,,,,,,62,,,,,
PRODUCT,(-1)-,BOX,270,,(-1)-,220,,,,,,118,,,,,
PRODUCT,238 (L)-,BOX,270,,238 (L)-,220,,,,,,231,,,,,
PRODUCT,(D)- ,BOX,270,,(D)- ,220,,,,,,157,,,,,
PRODUCT,(-1)-,BOX,270,,(-1)-,220,,,,,,111,,,,,
PRODUCT,(F)- ,BOX,270,,(F)- ,220,,,,,,100,,,,,
PRODUCT,244 (L)- ,BOX,270,,244 (L)- ,220,,,,,,230,,,,,
PRODUCT,(01)-,BOX,270,,(01)-,220,,,,,,304,,,,,
PRODUCT,241 (L)-,BOX,270,,241 (L)-,220,,,,,,83,,,,,
PRODUCT,(-1)-,BOX,270,,(-1)-,220,,,,,,41,,,,,
PRODUCT,107 (L)-,BOX,270,,107 (L)-,220,,,,,,212,,,,,
PRODUCT,(D)- ,BOX,270,,(D)- ,220,,,,,,200,,,,,
PRODUCT,(-2)-,BOX,270,,(-2)-,220,,,,,,215,,,,,
PRODUCT,(F)- ,BOX,270,,(F)- ,220,,,,,,126,,,,,
PRODUCT,963 (02)-,BOX,300,,963 (02)-,240,,,,,,242,,,,,
PRODUCT,914 (EL)- ,BOX,300,,914 (EL)- ,240,,,,,,387,,,,,
PRODUCT,5029 (EL)- ,BOX,300,,5029 (EL)- ,240,,,,,,192,,,,,
PRODUCT,902 (E)- ,BOX,300,,902 (E)- ,240,,,,,,215,,,,,
PRODUCT,326 (L)-,BOX,270,,326 (L)-,220,,,,,,262,,,,,
PRODUCT,326 (D)-,BOX,270,,326 (D)-,220,,,,,,344,,,,,
PRODUCT,(01)-,BOX,270,,(01)-,220,,,,,,230,,,,,
PRODUCT,(02)- ,BOX,270,,(02)- ,220,,,,,,58,,,,,
PRODUCT,438( A)- ,BOX,270,,438( A)- ,220,,,,,,119,,,,,
PRODUCT,(B) - ,BOX,270,,(B) - ,220,,,,,,124,,,,,
PRODUCT,(D) - ,BOX,270,,(D) - ,220,,,,,,155,,,,,
PRODUCT,(L)- ,BOX,270,,(L)- ,220,,,,,,266,,,,,
PRODUCT,(F) - ,BOX,270,,(F) - ,220,,,,,,108,,,,,
PRODUCT,315 (D)- ,BOX,270,,315 (D)- ,220,,,,,,217,,,,,
PRODUCT,(02)- ,BOX,270,,(02)- ,220,,,,,,102,,,,,
PRODUCT,422-(L) ,BOX,270,,422-(L) ,220,,,,,,83,,,,,
PRODUCT,(D) -,BOX,270,,(D) -,220,,,,,,37,,,,,
PRODUCT,(01)-,BOX,270,,(01)-,220,,,,,,9,,,,,
PRODUCT,(F) -,BOX,270,,(F) -,220,,,,,,11,,,,,
PRODUCT,311 (L)-,BOX,270,,311 (L)-,220,,,,,,217,,,,,
