Type,Item,Unit,saleprice,sale_account,sale_description,purchase_price,purchase_account,purchase_description,,Manufacture_date,Expire_date,Quantity,Bill_Date,Bill_Number,Purchase_Order_Number,Purchase_Order_Date,Terms
Product,18X12 WALL SPICE 211 L,BOX,270,,,220,,,,,,186,,,,,
Product,18X12 WALL SPICE 211 D,BOX,270,,,220,,,,,,109,,,,,
Product,18X12 WALL SPICE 211 01,BOX,270,,,220,,,,,,86,,,,,
Product,18X12 WALL SPICE 211 F,BOX,270,,,220,,,,,,118,,,,,
Product,18X12 WALL SPICE 232 L,BOX,270,,,220,,,,,,135,,,,,
Product,18X12 WALL SPICE 232 D,BOX,270,,,220,,,,,,62,,,,,
Product,18X12 WALL SPICE 232 01,BOX,270,,,220,,,,,,118,,,,,
Product,18X12 WALL SPICE 238 L,BOX,270,,,220,,,,,,231,,,,,
Product,18X12 WALL SPICE 238 D,BOX,270,,,220,,,,,,157,,,,,
Product,18X12 WALL SPICE 238 01,BOX,270,,,220,,,,,,111,,,,,
Product,18X12 WALL SPICE 238 F,BOX,270,,,220,,,,,,100,,,,,
Product,18X12 WALL SPICE 244 L,BOX,270,,,220,,,,,,230,,,,,
Product,18X12 WALL SPICE 244 01,BOX,270,,,220,,,,,,304,,,,,
Product,18X12 WALL SPICE 241 L,BOX,270,,,220,,,,,,83,,,,,
Product,18X12 WALL SPICE 241 01,BOX,270,,,220,,,,,,41,,,,,
Product,18X12 WALL SPICE 107 L,BOX,270,,,220,,,,,,212,,,,,
Product,18X12 WALL SPICE 107 D,BOX,270,,,220,,,,,,200,,,,,
Product,18X12 WALL SPICE 107 02,BOX,270,,,220,,,,,,215,,,,,
Product,18X12 WALL SPICE 107 F,BOX,270,,,220,,,,,,126,,,,,
Product,18X12 WALL SPICE 963 02,BOX,300,,,240,,,,,,242,,,,,
Product,18X12 WALL SPICE 914 EL,BOX,300,,,240,,,,,,387,,,,,
Product,18X12 WALL SPICE 5029 EL,BOX,300,,,240,,,,,,192,,,,,
Product,18X12 WALL SPICE 902 E,BOX,300,,,240,,,,,,215,,,,,
Product,18X12 WALL SPICE 326 L,BOX,270,,,220,,,,,,262,,,,,
Product,18X12 WALL SPICE 326 D,BOX,270,,,220,,,,,,344,,,,,
Product,18X12 WALL SPICE 326 01,BOX,270,,,220,,,,,,230,,,,,
Product,18X12 WALL SPICE 326 02,BOX,270,,,220,,,,,,58,,,,,
Product,18X12 WALL SPICE 438 A,BOX,270,,,220,,,,,,119,,,,,
Product,18X12 WALL SPICE 438 B,BOX,270,,,220,,,,,,124,,,,,
Product,18X12 WALL SPICE 438 D,BOX,270,,,220,,,,,,155,,,,,
Product,18X12 WALL SPICE 438 L,BOX,270,,,220,,,,,,266,,,,,
Product,18X12 WALL SPICE 438 F,BOX,270,,,220,,,,,,108,,,,,
Product,18X12 WALL SPICE 315 D,BOX,270,,,220,,,,,,217,,,,,
Product,18X12 WALL SPICE 315 02,BOX,270,,,220,,,,,,102,,,,,
Product,18X12 WALL SPICE 422 L,BOX,270,,,220,,,,,,83,,,,,
Product,18X12 WALL SPICE 422 D,BOX,270,,,220,,,,,,37,,,,,
Product,18X12 WALL SPICE 422 01,BOX,270,,,220,,,,,,9,,,,,
Product,18X12 WALL SPICE 422 F,BOX,270,,,220,,,,,,11,,,,,
Product,18X12 WALL SPICE 311 L,BOX,270,,,220,,,,,,217,,,,,
Product,18X12 WALL SPICE 5026 EL,BOX,300,,,240,,,,,,502,,,,,
Product,18X12 WALL SPICE 244 D,BOX,270,,,220,,,,,,0,,,,,
Product,18X12 WALL SPICE 244 F,BOX,270,,,220,,,,,,0,,,,,
Product,18X12 WALL SPICE 241 D,BOX,270,,,220,,,,,,0,,,,,
Product,18X12 WALL SPICE 241 F,BOX,270,,,220,,,,,,0,,,,,
Product,ROTTO SPL COLOUR ZED BLACK 18,BOX,380,,,320,,,,,,314,,,,,
Product,ROTTO SPL COLOUR ORANGE 18,BOX,380,,,320,,,,,,200,,,,,
Product,ROTTO SPL COLOUR BLOOD RED 18,BOX,380,,,320,,,,,,379,,,,,
Product,ROTTO SPL COLOUR YELLOW 18,BOX,380,,,320,,,,,,365,,,,,
Product,ROTTO SPL COLOUR ZED BLACK P,BOX,380,,,320,,,,,,220,,,,,
Product,ROTTO SPL COLOUR ORANGE P,BOX,380,,,320,,,,,,122,,,,,
Product,ROTTO SPL COLOUR BLOOD RED P,BOX,380,,,320,,,,,,330,,,,,
Product,ROTTO SPL COLOUR YELLOW P,BOX,380,,,320,,,,,,290,,,,,
Product,ROTTO SPL COLOUR BLUE P,BOX,380,,,320,,,,,,130,,,,,
Product,ROTTO SPL COLOUR GREEN P,BOX,380,,,320,,,,,,120,,,,,
Product,ROTTO SPL COLOUR GREEN 18,BOX,380,,,320,,,,,,206,,,,,
Product,ROTTO SPL COLOUR WHITE WP,BOX,380,,,320,,,,,,258,,,,,
Product,ROTTO SPL COLOUR IVORY WP,BOX,380,,,320,,,,,,215,,,,,
Product,ROTTO SPL COLOUR IVORY 18,BOX,380,,,320,,,,,,313,,,,,
Product,ROTTO SPL COLOUR WHITE 18,BOX,380,,,320,,,,,,312,,,,,
Product,HOLIX FLOOR 600X1200 MM VOX WHITE LT,PCS,900,,,800,,,,,,93,,,,,
Product,HOLIX FLOOR 600X1200 MM VOX BLACK D,PCS,950,,,850,,,,,,99,,,,,
Product,HOLIX FLOOR 600X1200 MM VOX ROSA D,PCS,950,,,850,,,,,,90,,,,,
Product,HOLIX FLOOR 600X1200 MM VOX PINK LT,PCS,900,,,800,,,,,,108,,,,,
Product,HOLIX FLOOR 600X1200 MM VOX GOLD LT,PCS,900,,,800,,,,,,81,,,,,
Product,HOLIX FLOOR 600X1200 MM VOX SMOKE D,PCS,950,,,850,,,,,,0,,,,,
Product,HOLIX FLOOR 600X1200 MM VOX GRAY LT,PCS,900,,,800,,,,,,30,,,,,
Product,HOLIX FLOOR 600X1200 MM ROCCO WHITE LT,PCS,950,,,850,,,,,,94,,,,,
Product,HOLIX FLOOR 600X1200 MM ROCCO CANVAS D,PCS,1000,,,900,,,,,,64,,,,,
