Type,Item,code,Unit,saleprice,sale_account,sale_description,purchase_price,purchase_account,purchase_description,,Manufacture_date,Expire_date,Quantity,Bill_Date,Bill_Number,Purchase_Order_Number,Purchase_Order_Date,Terms
Product,18X12 WALL SPICE 211 L,WS0001,BOX,270,,,220,,,,,,186,,,,,
Product,18X12 WALL SPICE 211 D,WS0002,BOX,270,,,220,,,,,,109,,,,,
Product,18X12 WALL SPICE 211 01,WS0003,BOX,270,,,220,,,,,,86,,,,,
Product,18X12 WALL SPICE 211 F,WS0004,BOX,270,,,220,,,,,,118,,,,,
Product,18X12 WALL SPICE 232 L,WS0005,BOX,270,,,220,,,,,,135,,,,,
Product,18X12 WALL SPICE 232 D,WS0006,BOX,270,,,220,,,,,,62,,,,,
Product,18X12 WALL SPICE 232 01,WS0007,BOX,270,,,220,,,,,,118,,,,,
Product,18X12 WALL SPICE 238 L,WS0008,BOX,270,,,220,,,,,,231,,,,,
Product,18X12 WALL SPICE 238 D,WS0009,BOX,270,,,220,,,,,,157,,,,,
Product,18X12 WALL SPICE 238 01,WS0010,BOX,270,,,220,,,,,,111,,,,,
Product,18X12 WALL SPICE 238 F,WS0011,BOX,270,,,220,,,,,,100,,,,,
Product,18X12 WALL SPICE 244 L,WS0012,BOX,270,,,220,,,,,,230,,,,,
Product,18X12 WALL SPICE 244 01,WS0013,BOX,270,,,220,,,,,,304,,,,,
Product,18X12 WALL SPICE 241 L,WS0014,BOX,270,,,220,,,,,,83,,,,,
Product,18X12 WALL SPICE 241 01,WS0015,BOX,270,,,220,,,,,,41,,,,,
Product,18X12 WALL SPICE 107 L,WS0016,BOX,270,,,220,,,,,,212,,,,,
Product,18X12 WALL SPICE 107 D,WS0017,BOX,270,,,220,,,,,,200,,,,,
Product,18X12 WALL SPICE 107 02,WS0018,BOX,270,,,220,,,,,,215,,,,,
Product,18X12 WALL SPICE 107 F,WS0019,BOX,270,,,220,,,,,,126,,,,,
Product,18X12 WALL SPICE 963 02,WS0020,BOX,300,,,240,,,,,,242,,,,,
Product,18X12 WALL SPICE 914 EL,WS0021,BOX,300,,,240,,,,,,387,,,,,
Product,18X12 WALL SPICE 5029 EL,WS0022,BOX,300,,,240,,,,,,192,,,,,
Product,18X12 WALL SPICE 902 E,WS0023,BOX,300,,,240,,,,,,215,,,,,
Product,18X12 WALL SPICE 326 L,WS0024,BOX,270,,,220,,,,,,262,,,,,
Product,18X12 WALL SPICE 326 D,WS0025,BOX,270,,,220,,,,,,344,,,,,
Product,18X12 WALL SPICE 326 01,WS0026,BOX,270,,,220,,,,,,230,,,,,
Product,18X12 WALL SPICE 326 02,WS0027,BOX,270,,,220,,,,,,58,,,,,
Product,18X12 WALL SPICE 438 A,WS0028,BOX,270,,,220,,,,,,119,,,,,
Product,18X12 WALL SPICE 438 B,WS0029,BOX,270,,,220,,,,,,124,,,,,
Product,18X12 WALL SPICE 438 D,WS0030,BOX,270,,,220,,,,,,155,,,,,
Product,18X12 WALL SPICE 438 L,WS0031,BOX,270,,,220,,,,,,266,,,,,
Product,18X12 WALL SPICE 438 F,WS0032,BOX,270,,,220,,,,,,108,,,,,
Product,18X12 WALL SPICE 315 D,WS0033,BOX,270,,,220,,,,,,217,,,,,
Product,18X12 WALL SPICE 315 02,WS0034,BOX,270,,,220,,,,,,102,,,,,
Product,18X12 WALL SPICE 422 L,WS0035,BOX,270,,,220,,,,,,83,,,,,
